subscription_id,student_id,created_date,subscription_period_start,cancelled_date,next_charge_date,updated_date,end_date,state,subscription_type
120,1950,"2021-01-28 23:44:10","2021-01-20 02:00:00",NULL,"2024-01-20 00:00:00","2023-01-20 08:43:25",NULL,1,2
121,1681,"2021-01-28 23:44:10","2021-01-20 02:00:00",NULL,"2023-01-20 00:00:00","2021-01-20 18:22:34","2022-01-27 00:00:00",3,2
122,1880,"2021-01-28 23:44:10","2021-01-20 02:00:00","2022-11-20 00:00:00","2023-01-20 00:00:00","2021-01-20 17:26:19","2023-01-20 00:00:00",3,2
123,1970,"2021-01-28 23:44:10","2021-01-20 02:00:00",NULL,"2022-01-20 02:00:00",NULL,"2022-01-29 00:00:00",3,2
124,1974,"2021-01-28 23:44:10","2021-01-20 02:00:00","2022-06-06 00:00:00","2023-04-20 00:00:00","2022-04-20 08:16:10","2023-04-20 00:00:00",2,2
125,1983,"2021-01-28 23:44:10","2021-01-20 02:00:00",NULL,"2022-01-20 02:00:00",NULL,"2022-01-29 00:00:00",3,2
126,2271,"2021-01-28 23:44:10","2021-01-20 02:00:00","2023-01-21 00:00:00","2024-01-20 00:00:00","2023-01-20 08:04:27","2023-01-23 00:00:00",3,2
127,1985,"2021-01-28 23:44:10","2021-01-20 02:00:00",NULL,"2021-02-20 02:00:00",NULL,"2021-02-04 00:00:00",3,0
128,1987,"2021-01-28 23:44:10","2021-01-20 02:00:00",NULL,"2021-02-20 02:00:00",NULL,"2021-02-24 00:00:00",3,0
129,1848,"2021-01-28 23:44:10","2021-01-20 02:00:00",NULL,"2021-03-20 00:00:00","2021-01-20 14:22:45","2021-03-24 00:00:00",3,0
130,1447,"2021-01-28 23:44:10","2021-01-20 02:00:00","2022-01-15 00:00:00","2022-01-20 02:00:00",NULL,"2022-01-20 00:00:00",3,2
131,2026,"2021-01-28 23:44:10","2021-01-20 02:00:00",NULL,"2024-01-20 00:00:00","2023-01-20 08:30:35",NULL,1,2
132,1246,"2021-01-28 23:44:10","2021-01-20 02:00:00",NULL,"2024-01-20 00:00:00","2023-01-20 08:30:37",NULL,1,2
133,2068,"2021-01-28 23:44:10","2021-01-20 02:00:00",NULL,"2021-02-20 02:00:00",NULL,"2021-02-24 00:00:00",3,0
134,117416,"2021-01-28 23:44:10","2021-01-20 02:00:00",NULL,"2022-01-20 02:00:00",NULL,"2021-10-18 00:00:00",3,2
135,117416,"2021-01-28 23:44:10","2021-01-20 02:00:00",NULL,"2021-10-20 00:00:00","2021-01-20 01:01:26","2021-10-18 00:00:00",3,0
136,2076,"2021-01-28 23:44:10","2021-01-20 02:00:00",NULL,"2022-05-20 00:00:00","2022-04-20 08:41:09","2022-05-24 00:00:00",3,0
137,2103,"2021-01-28 23:44:10","2021-01-19 02:00:00","2023-01-19 00:00:00","2024-01-19 00:00:00","2023-01-19 10:04:24","2024-01-19 00:00:00",2,2
138,1993,"2021-01-28 23:44:10","2021-01-19 02:00:00","2021-12-02 00:00:00","2022-01-19 02:00:00",NULL,"2022-01-19 00:00:00",3,2
139,2104,"2021-01-28 23:44:10","2021-01-19 02:00:00",NULL,"2023-01-19 00:00:00","2021-01-19 18:45:04","2022-01-19 00:00:00",3,2
140,801,"2021-01-28 23:44:10","2021-01-19 02:00:00","2022-03-28 00:00:00","2022-04-19 00:00:00","2021-01-19 18:23:14","2022-04-19 00:00:00",3,2
141,2113,"2021-01-28 23:44:10","2021-01-19 02:00:00",NULL,"2023-01-19 00:00:00","2021-01-19 17:40:40",NULL,1,2
142,2003,"2021-01-28 23:44:10","2021-01-19 02:00:00",NULL,"2024-01-19 00:00:00","2023-01-19 09:59:28",NULL,1,2
144,3348,"2021-01-28 23:44:10","2021-01-19 02:00:00","2021-02-03 00:00:00","2021-02-19 02:00:00",NULL,"2021-02-08 00:00:00",3,0
145,2135,"2021-01-28 23:44:10","2021-01-19 02:00:00","2023-01-06 00:00:00","2023-01-19 00:00:00","2021-01-19 13:27:08","2023-04-19 00:00:00",2,2
146,1373,"2021-01-28 23:44:10","2021-01-19 02:00:00","2022-04-09 00:00:00","2022-04-19 00:00:00","2021-01-19 13:22:34","2022-04-19 00:00:00",3,2
147,2134,"2021-01-28 23:44:10","2021-01-19 02:00:00",NULL,"2021-03-19 00:00:00","2021-01-19 13:21:46","2021-03-23 00:00:00",3,0
148,5971,"2021-01-28 23:44:10","2021-01-19 02:00:00","2021-02-18 00:00:00","2021-02-19 02:00:00",NULL,"2021-02-19 00:00:00",3,0
149,2012,"2021-01-28 23:44:10","2021-01-19 02:00:00",NULL,"2021-03-19 00:00:00","2021-01-19 12:30:48","2021-03-23 00:00:00",3,0
150,1644,"2021-01-28 23:44:10","2021-01-19 02:00:00",NULL,"2022-01-19 02:00:00",NULL,"2022-01-28 00:00:00",3,2
151,1908,"2021-01-28 23:44:10","2021-01-19 02:00:00","2022-01-20 00:00:00","2023-01-19 00:00:00","2021-01-19 10:11:03","2023-01-19 00:00:00",3,2
152,2164,"2021-01-28 23:44:10","2021-01-19 02:00:00",NULL,"2023-01-19 00:00:00","2021-01-19 09:21:17","2022-01-19 00:00:00",3,2
153,1553,"2021-01-28 23:44:10","2021-01-19 02:00:00",NULL,"2023-01-19 00:00:00","2021-01-19 05:45:12","2022-01-24 00:00:00",3,2
154,143072,"2021-01-28 23:44:10","2021-01-19 02:00:00",NULL,"2022-01-19 02:00:00",NULL,"2021-10-18 00:00:00",3,2
155,2186,"2021-01-28 23:44:10","2021-01-19 02:00:00",NULL,"2022-01-19 02:00:00",NULL,"2022-01-28 00:00:00",3,2
156,2202,"2021-01-28 23:44:10","2021-01-19 02:00:00",NULL,"2021-02-19 02:00:00",NULL,"2021-02-23 00:00:00",3,0
157,2846,"2021-01-28 23:44:10","2021-01-19 02:00:00","2021-02-07 00:00:00","2022-01-19 02:00:00",NULL,"2021-02-08 00:00:00",3,2
158,2219,"2021-01-28 23:44:10","2021-01-18 02:00:00","2021-12-17 00:00:00","2022-01-18 02:00:00",NULL,"2022-01-18 00:00:00",3,2
159,2027,"2021-01-28 23:44:10","2021-01-18 02:00:00",NULL,"2022-01-18 02:00:00",NULL,"2022-01-27 00:00:00",3,2
160,4207,"2021-01-28 23:44:10","2021-01-18 02:00:00","2021-05-31 00:00:00","2021-06-18 00:00:00","2021-01-18 20:34:15","2021-06-18 00:00:00",3,0
161,842,"2021-01-28 23:44:10","2021-01-18 02:00:00","2022-01-13 00:00:00","2022-01-18 02:00:00",NULL,"2022-01-18 00:00:00",3,2
162,1154,"2021-01-28 23:44:10","2021-01-18 02:00:00","2021-08-09 00:00:00","2022-01-18 02:00:00",NULL,"2022-01-18 00:00:00",3,2
163,2289,"2021-01-28 23:44:10","2021-01-18 02:00:00",NULL,"2024-01-18 00:00:00","2023-01-18 08:23:23",NULL,1,2
164,2288,"2021-01-28 23:44:10","2021-01-18 02:00:00","2021-12-03 00:00:00","2022-01-18 02:00:00",NULL,"2022-01-18 00:00:00",3,2
165,2978,"2021-01-28 23:44:10","2021-01-18 02:00:00",NULL,"2023-01-18 00:00:00","2021-01-18 16:42:14",NULL,1,2
166,1964,"2021-01-28 23:44:10","2021-01-18 02:00:00","2021-03-17 00:00:00","2021-03-18 00:00:00","2021-01-18 16:13:46","2021-03-18 00:00:00",3,0
167,2255,"2021-01-28 23:44:10","2021-01-18 02:00:00",NULL,"2024-01-18 00:00:00","2023-01-18 08:01:04","2023-01-19 00:00:00",3,2
168,2332,"2021-01-28 23:44:10","2021-01-18 02:00:00",NULL,"2024-01-18 00:00:00","2023-01-18 08:34:41",NULL,1,2
169,3468,"2021-01-28 23:44:10","2021-01-18 02:00:00",NULL,"2024-01-18 00:00:00","2023-01-18 08:33:57",NULL,1,2
170,2245,"2021-01-28 23:44:10","2021-01-18 02:00:00",NULL,"2021-02-18 02:00:00",NULL,"2021-02-22 00:00:00",3,0
171,2364,"2021-01-28 23:44:10","2021-01-18 02:00:00",NULL,"2021-10-18 00:00:00","2021-01-18 10:02:00","2021-10-22 00:00:00",3,0
172,143072,"2021-01-28 23:44:10","2021-01-18 02:00:00",NULL,"2022-01-18 02:00:00",NULL,"2021-10-18 00:00:00",3,2
174,2294,"2021-01-28 23:44:10","2021-01-18 02:00:00",NULL,"2024-01-18 00:00:00","2023-01-18 08:28:07",NULL,1,2
175,2258,"2021-01-28 23:44:10","2021-01-17 02:00:00","2022-10-01 00:00:00","2023-01-17 00:00:00","2021-01-17 18:35:35","2023-01-17 00:00:00",3,2
176,2416,"2021-01-28 23:44:10","2021-01-17 02:00:00",NULL,"2024-01-17 00:00:00","2023-01-17 08:31:41",NULL,1,2
177,92535,"2021-01-28 23:44:10","2021-01-17 02:00:00",NULL,"2023-01-17 00:00:00","2021-01-17 16:25:20","2023-01-26 00:00:00",3,2
178,143232,"2021-01-28 23:44:10","2021-01-17 02:00:00",NULL,"2021-02-17 02:00:00",NULL,NULL,1,0
179,3335,"2021-01-28 23:44:10","2021-01-17 02:00:00","2021-01-17 02:00:00","2022-01-17 02:00:00",NULL,"2021-02-23 00:00:00",3,2
180,143231,"2021-01-28 23:44:10","2021-01-17 02:00:00",NULL,"2021-02-17 02:00:00",NULL,NULL,1,0
181,2010,"2021-01-28 23:44:10","2021-01-17 02:00:00","2022-01-19 00:00:00","2023-01-17 00:00:00","2021-01-17 13:01:06","2022-01-19 00:00:00",3,2
182,2447,"2021-01-28 23:44:10","2021-01-17 02:00:00",NULL,"2022-01-17 02:00:00",NULL,"2022-01-26 00:00:00",3,2
183,874,"2021-01-28 23:44:10","2021-01-17 02:00:00","2022-01-17 00:00:00","2023-01-17 00:00:00","2021-01-17 09:07:52","2022-01-17 00:00:00",3,2
